Município,Soma de Menor de 10 anos 2014,Soma de 10 a 14 anos 2014,Soma de 15 a 19 anos 2014,Soma de Menor de 10 anos 2015,Soma de 10 a 14 anos 2015,Soma de 15 a 19 anos 2015,Soma de Menor de 10 anos 2016,Soma de 10 a 14 anos 2016,Soma de 15 a 19 anos 2016
Município ignorado - SP,0,0,1,0,0,1,0,0,0
Adamantina,0,3,41,0,1,41,0,3,41
Adolfo,0,1,13,0,0,6,0,0,6
Aguaí,0,2,62,0,0,64,0,1,52
Águas da Prata,0,1,7,0,1,11,0,1,5
Águas de Lindóia,0,0,37,0,1,33,0,3,20
Águas de Santa Bárbara,0,2,10,0,1,10,0,1,12
Águas de São Pedro,0,0,3,0,0,1,0,0,1
Agudos,0,4,114,0,2,80,0,3,76
Alambari,0,0,13,0,1,4,0,0,4
Alfredo Marcondes,0,2,3,0,0,13,0,0,10
Altair,0,1,10,0,2,10,0,0,12
Altinópolis,0,0,23,0,1,35,0,0,23
Alto Alegre,0,0,8,0,0,6,0,1,7
Alumínio,0,1,38,0,2,38,0,2,35
Álvares Florence,0,0,3,0,0,2,0,1,5
Álvares Machado,0,4,66,0,2,62,0,1,45
Álvaro de Carvalho,0,0,12,0,0,7,0,0,9
Alvinlândia,0,0,5,0,0,8,0,1,8
Americana,0,13,222,0,6,251,0,2,181
Américo Brasiliense,0,3,102,0,4,73,0,0,57
Américo de Campos,0,0,9,0,1,5,0,0,4
Amparo,0,8,108,0,5,111,0,4,111
Analândia,0,0,8,0,0,12,0,1,9
Andradina,0,2,114,0,5,102,0,5,105
Angatuba,0,3,63,0,3,61,0,1,62
Anhembi,0,0,19,0,0,13,0,1,18
Anhumas,0,1,0,0,1,8,0,0,10
Aparecida,0,1,90,0,2,79,0,4,60
Aparecida d'Oeste,0,0,3,0,0,13,0,0,5
Apiaí,0,6,80,0,7,96,0,2,57
Araçariguama,0,6,50,0,1,42,0,0,57
Araçatuba,0,19,323,0,13,306,0,9,276
Araçoiaba da Serra,0,2,53,0,3,53,0,1,73
Aramina,0,0,10,0,0,12,0,0,10
Arandu,0,1,14,0,0,12,0,0,10
Arapeí,0,0,2,0,0,4,0,0,4
Araraquara,0,8,312,0,14,315,0,15,272
Araras,0,8,219,0,15,204,0,10,159
Arco-Íris,0,0,7,0,0,7,0,0,1
Arealva,0,1,11,0,0,15,0,1,14
Areias,0,0,8,0,0,7,0,0,6
Areiópolis,0,3,30,0,1,30,0,2,30
Ariranha,0,1,18,0,1,20,0,0,13
Artur Nogueira,0,6,88,0,4,77,0,7,104
Arujá,0,7,218,0,8,206,0,3,206
Aspásia,0,0,4,0,0,2,0,0,4
Assis,0,11,185,0,10,179,0,3,162
Atibaia,0,9,260,0,9,308,0,4,247
Auriflama,0,2,43,0,2,24,0,0,15
Avaí,0,3,15,0,3,15,0,0,11
Avanhandava,0,1,30,0,3,31,0,1,23
Avaré,0,5,215,0,6,214,0,12,199
Bady Bassitt,0,0,25,0,1,33,0,1,23
Balbinos,0,0,2,0,0,2,0,0,1
Bálsamo,0,0,10,0,0,14,0,1,9
Bananal,0,0,11,0,1,18,0,1,18
Barão de Antonina,0,2,6,0,1,9,0,2,11
Barbosa,0,0,16,0,2,21,0,0,24
Bariri,0,3,71,0,1,61,0,1,60
Barra Bonita,0,1,34,0,0,31,0,1,42
Barra do Chapéu,0,3,22,0,0,12,0,0,14
Barra do Turvo,0,0,14,0,1,9,0,1,18
Barretos,0,14,203,0,15,234,0,4,181
Barrinha,0,3,80,0,4,80,0,6,102
Barueri,0,21,754,0,24,681,0,17,617
Bastos,0,6,43,0,2,58,0,0,49
Batatais,0,5,121,0,7,117,0,6,105
Bauru,0,37,705,0,25,684,0,21,557
Bebedouro,0,6,144,0,6,114,0,6,131
Bento de Abreu,0,0,5,0,1,9,0,0,3
Bernardino de Campos,0,2,18,0,2,24,0,1,21
Bertioga,0,10,173,0,6,161,0,5,164
Bilac,0,1,19,0,1,16,0,1,10
Birigui,0,7,179,0,7,160,0,3,162
Biritiba-Mirim,0,3,86,0,4,68,0,1,69
Boa Esperança do Sul,0,5,42,0,2,41,0,0,31
Bocaina,0,3,24,0,0,20,0,4,18
Bofete,0,1,22,0,0,31,0,3,20
Boituva,0,4,132,0,0,129,0,4,125
Bom Jesus dos Perdões,0,2,54,0,1,43,0,1,49
Bom Sucesso de Itararé,0,0,14,0,1,16,0,0,18
Borá,0,0,2,0,0,2,0,0,0
Boracéia,0,0,9,0,1,7,0,0,8
Borborema,0,2,17,0,1,14,0,3,7
Borebi,0,1,9,0,0,11,0,0,3
Botucatu,0,14,262,0,10,292,0,6,248
Bragança Paulista,0,16,303,0,17,269,0,3,247
Braúna,0,0,22,0,0,17,0,1,14
Brejo Alegre,0,0,6,0,0,10,0,0,5
Brodowski,0,1,55,0,3,44,0,1,45
Brotas,0,6,46,0,4,45,0,4,43
Buri,0,6,73,0,1,79,0,9,62
Buritama,0,1,30,0,4,34,0,2,25
Buritizal,0,0,8,0,1,6,0,2,10
Cabrália Paulista,0,0,14,0,1,9,0,0,12
Cabreúva,0,6,112,0,4,138,0,0,115
Caçapava,0,4,202,0,11,206,0,4,160
Cachoeira Paulista,0,3,45,0,1,45,0,1,62
Caconde,0,3,25,0,1,34,0,1,38
Cafelândia,0,4,32,0,1,54,0,2,35
Caiabu,0,0,7,0,0,4,0,0,2
Caieiras,0,4,191,0,3,202,0,5,194
Caiuá,0,0,6,0,0,7,0,1,6
Cajamar,0,7,174,0,5,165,0,2,145
Cajati,0,6,107,0,7,114,0,6,83
Cajobi,0,1,24,0,6,28,0,2,11
Cajuru,0,4,86,0,2,77,0,1,66
Campina do Monte Alegre,0,0,17,0,0,19,0,0,11
Campinas,0,115,2046,0,92,1879,0,71,1711
Campo Limpo Paulista,0,5,185,0,6,152,0,4,149
Campos do Jordão,0,4,120,0,3,120,0,2,111
Campos Novos Paulista,0,0,10,0,0,11,0,1,12
Cananéia,0,3,36,0,0,44,0,1,27
Canas,0,1,15,0,0,19,0,2,18
Cândido Mota,0,3,46,0,3,72,0,1,51
Cândido Rodrigues,0,0,1,0,0,1,0,0,0
Canitar,0,0,14,0,0,13,0,1,18
Capão Bonito,0,4,134,0,3,122,0,4,94
Capela do Alto,0,0,53,0,3,62,0,2,44
Capivari,0,7,124,0,6,110,0,6,98
Caraguatatuba,0,8,255,0,5,279,1,8,255
