 Nascidos vivos - São Paulo
Nascim p/resid.mãe por Município e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos
Período:2015
"Município";"10 a 14 anos";"15 a 19 anos";"Total"
"350010 Adamantina";1;41;42
"350020 Adolfo";-;6;6
"350030 Aguaí";-;64;64
"350040 Águas da Prata";1;11;12
"350050 Águas de Lindóia";1;33;34
"350055 Águas de Santa Bárbara";1;10;11
"350060 Águas de São Pedro";-;1;1
"350070 Agudos";2;80;82
"350075 Alambari";1;4;5
"350080 Alfredo Marcondes";-;13;13
"350090 Altair";2;10;12
"350100 Altinópolis";1;35;36
"350110 Alto Alegre";-;6;6
"350115 Alumínio";2;38;40
"350120 Álvares Florence";-;2;2
"350130 Álvares Machado";2;62;64
"350140 Álvaro de Carvalho";-;7;7
"350150 Alvinlândia";-;8;8
"350160 Americana";6;251;257
"350170 Américo Brasiliense";4;73;77
"350180 Américo de Campos";1;5;6
"350190 Amparo";5;111;116
"350200 Analândia";-;12;12
"350210 Andradina";5;102;107
"350220 Angatuba";3;61;64
"350230 Anhembi";-;13;13
"350240 Anhumas";1;8;9
"350250 Aparecida";2;79;81
"350260 Aparecida d'Oeste";-;13;13
"350270 Apiaí";7;96;103
"350275 Araçariguama";1;42;43
"350280 Araçatuba";13;306;319
"350290 Araçoiaba da Serra";3;53;56
"350300 Aramina";-;12;12
"350310 Arandu";-;12;12
"350315 Arapeí";-;4;4
"350320 Araraquara";14;315;329
"350330 Araras";15;204;219
"350335 Arco-Íris";-;7;7
"350340 Arealva";-;15;15
"350350 Areias";-;7;7
"350360 Areiópolis";1;30;31
"350370 Ariranha";1;20;21
"350380 Artur Nogueira";4;77;81
"350390 Arujá";8;206;214
"350395 Aspásia";-;2;2
"350400 Assis";10;179;189
"350410 Atibaia";9;308;317
"350420 Auriflama";2;24;26
"350430 Avaí";3;15;18
"350440 Avanhandava";3;31;34
"350450 Avaré";6;214;220
"350460 Bady Bassitt";1;33;34
"350470 Balbinos";-;2;2
"350480 Bálsamo";-;14;14
"350490 Bananal";1;18;19
"350500 Barão de Antonina";1;9;10
"350510 Barbosa";2;21;23
"350520 Bariri";1;61;62
"350530 Barra Bonita";-;31;31
"350535 Barra do Chapéu";-;12;12
"350540 Barra do Turvo";1;9;10
"350550 Barretos";15;234;249
"350560 Barrinha";4;80;84
"350570 Barueri";24;681;705
"350580 Bastos";2;58;60
"350590 Batatais";7;117;124
