 Nascidos vivos - São Paulo
Nascim p/resid.mãe por Município e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos
Período:2016
"Município";"Menor de 10 anos";"10 a 14 anos";"15 a 19 anos";"Total"
"350010 Adamantina";-;3;41;44
"350020 Adolfo";-;-;6;6
"350030 Aguaí";-;1;52;53
"350040 Águas da Prata";-;1;5;6
"350050 Águas de Lindóia";-;3;20;23
"350055 Águas de Santa Bárbara";-;1;12;13
"350060 Águas de São Pedro";-;-;1;1
"350070 Agudos";-;3;76;79
"350075 Alambari";-;-;4;4
"350080 Alfredo Marcondes";-;-;10;10
"350090 Altair";-;-;12;12
"350100 Altinópolis";-;-;23;23
"350110 Alto Alegre";-;1;7;8
"350115 Alumínio";-;2;35;37
"350120 Álvares Florence";-;1;5;6
"350130 Álvares Machado";-;1;45;46
"350140 Álvaro de Carvalho";-;-;9;9
"350150 Alvinlândia";-;1;8;9
"350160 Americana";-;2;181;183
"350170 Américo Brasiliense";-;-;57;57
"350180 Américo de Campos";-;-;4;4
"350190 Amparo";-;4;111;115
"350200 Analândia";-;1;9;10
"350210 Andradina";-;5;105;110
"350220 Angatuba";-;1;62;63
"350230 Anhembi";-;1;18;19
"350240 Anhumas";-;-;10;10
"350250 Aparecida";-;4;60;64
"350260 Aparecida d'Oeste";-;-;5;5
"350270 Apiaí";-;2;57;59
"350275 Araçariguama";-;-;57;57
"350280 Araçatuba";-;9;276;285
"350290 Araçoiaba da Serra";-;1;73;74
"350300 Aramina";-;-;10;10
"350310 Arandu";-;-;10;10
"350315 Arapeí";-;-;4;4
"350320 Araraquara";-;15;272;287
"350330 Araras";-;10;159;169
"350335 Arco-Íris";-;-;1;1
"350340 Arealva";-;1;14;15
"350350 Areias";-;-;6;6
"350360 Areiópolis";-;2;30;32
"350370 Ariranha";-;-;13;13
"350380 Artur Nogueira";-;7;104;111
"350390 Arujá";-;3;206;209
"350395 Aspásia";-;-;4;4
"350400 Assis";-;3;162;165
"350410 Atibaia";-;4;247;251
"350420 Auriflama";-;-;15;15
"350430 Avaí";-;-;11;11
"350440 Avanhandava";-;1;23;24
"350450 Avaré";-;12;199;211
"350460 Bady Bassitt";-;1;23;24
"350470 Balbinos";-;-;1;1
"350480 Bálsamo";-;1;9;10
"350490 Bananal";-;1;18;19
"350500 Barão de Antonina";-;2;11;13
"350510 Barbosa";-;-;24;24
"350520 Bariri";-;1;60;61
"350530 Barra Bonita";-;1;42;43
"350535 Barra do Chapéu";-;-;14;14
"350540 Barra do Turvo";-;1;18;19
"350550 Barretos";-;4;181;185
"350560 Barrinha";-;6;102;108
"350570 Barueri";-;17;617;634
"350580 Bastos";-;-;49;49
"350590 Batatais";-;6;105;111
"350600 Bauru";-;21;557;578
"350610 Bebedouro";-;6;131;137
"350620 Bento de Abreu";-;-;3;3
"350630 Bernardino de Campos";-;1;21;22
"350635 Bertioga";-;5;164;169
"350640 Bilac";-;1;10;11
"350650 Birigui";-;3;162;165
"350660 Biritiba-Mirim";-;1;69;70
"350670 Boa Esperança do Sul";-;-;31;31
"350680 Bocaina";-;4;18;22
"350690 Bofete";-;3;20;23
"350700 Boituva";-;4;125;129
"350710 Bom Jesus dos Perdões";-;1;49;50
"350715 Bom Sucesso de Itararé";-;-;18;18
"350730 Boracéia";-;-;8;8
"350740 Borborema";-;3;7;10
"350745 Borebi";-;-;3;3
"350750 Botucatu";-;6;248;254
"350760 Bragança Paulista";-;3;247;250
"350770 Braúna";-;1;14;15
"350775 Brejo Alegre";-;-;5;5
"350780 Brodowski";-;1;45;46
"350790 Brotas";-;4;43;47
"350800 Buri";-;9;62;71
"350810 Buritama";-;2;25;27
"350820 Buritizal";-;2;10;12
"350830 Cabrália Paulista";-;-;12;12
"350840 Cabreúva";-;-;115;115
"350850 Caçapava";-;4;160;164
"350860 Cachoeira Paulista";-;1;62;63
"350870 Caconde";-;1;38;39
"350880 Cafelândia";-;2;35;37
"350890 Caiabu";-;-;2;2
"350900 Caieiras";-;5;194;199
"350910 Caiuá";-;1;6;7
"350920 Cajamar";-;2;145;147
"350925 Cajati";-;6;83;89
"350930 Cajobi";-;2;11;13
"350940 Cajuru";-;1;66;67
"350945 Campina do Monte Alegre";-;-;11;11
"350950 Campinas";-;71;1711;1782
"350960 Campo Limpo Paulista";-;4;149;153
"350970 Campos do Jordão";-;2;111;113
"350980 Campos Novos Paulista";-;1;12;13
"350990 Cananéia";-;1;27;28
"350995 Canas";-;2;18;20
"351000 Cândido Mota";-;1;51;52
"351015 Canitar";-;1;18;19
"351020 Capão Bonito";-;4;94;98
"351030 Capela do Alto";-;2;44;46
"351040 Capivari";-;6;98;104
"351050 Caraguatatuba";1;8;255;264
"351060 Carapicuíba";-;42;1018;1060
"351070 Cardoso";-;1;17;18
"351080 Casa Branca";-;-;41;41
"351090 Cássia dos Coqueiros";-;-;3;3
"351100 Castilho";-;2;39;41
"351110 Catanduva";-;8;155;163
"351120 Catiguá";-;2;9;11
"351130 Cedral";-;-;23;23
"351140 Cerqueira César";-;2;53;55
"351150 Cerquilho";-;2;52;54
"351160 Cesário Lange";-;-;39;39
"351170 Charqueada";-;1;30;31
"355720 Chavantes";-;-;30;30
"351190 Clementina";-;1;21;22
"351200 Colina";-;1;43;44
"351210 Colômbia";-;-;19;19
"351220 Conchal";-;4;91;95
"351230 Conchas";-;1;39;40
"351240 Cordeirópolis";-;2;44;46
"351250 Coroados";-;1;14;15
"351260 Coronel Macedo";-;-;10;10
"351270 Corumbataí";-;-;8;8
"351280 Cosmópolis";-;2;84;86
"351290 Cosmorama";-;2;9;11
"351300 Cotia";-;13;536;549
"351310 Cravinhos";-;1;58;59
"351320 Cristais Paulista";-;1;6;7
"351330 Cruzália";-;-;2;2
"351340 Cruzeiro";-;2;120;122
"351350 Cubatão";-;10;243;253
"351360 Cunha";-;1;47;48
"351370 Descalvado";-;-;41;41
"351380 Diadema";-;29;783;812
"351390 Divinolândia";-;2;14;16
"351400 Dobrada";-;-;17;17
"351410 Dois Córregos";-;1;76;77
"351420 Dolcinópolis";-;1;4;5
"351430 Dourado";-;1;16;17
"351440 Dracena";-;2;62;64
"351450 Duartina";-;-;23;23
"351460 Dumont";-;-;18;18
"351470 Echaporã";-;2;15;17
"351480 Eldorado";-;2;50;52
"351490 Elias Fausto";-;2;21;23
"351492 Elisiário";-;-;3;3
"351495 Embaúba";-;-;3;3
"351500 Embu das Artes";-;21;640;661
"351510 Embu-Guaçu";-;7;166;173
"351512 Emilianópolis";-;-;1;1
"351515 Engenheiro Coelho";-;4;45;49
"351518 Espírito Santo do Pinhal";-;-;60;60
"351519 Espírito Santo do Turvo";-;-;9;9
"355730 Estiva Gerbi";-;-;19;19
"351520 Estrela d'Oeste";-;-;8;8
"351530 Estrela do Norte";-;-;4;4
"351535 Euclides da Cunha Paulista";-;1;20;21
"351540 Fartura";-;1;25;26
"351560 Fernando Prestes";-;1;12;13
"351550 Fernandópolis";-;2;82;84
"351565 Fernão";-;-;3;3
"351570 Ferraz de Vasconcelos";-;10;432;442
"351580 Flora Rica";-;-;1;1
"351590 Floreal";-;-;3;3
"351600 Flórida Paulista";-;-;16;16
"351610 Florínia";-;-;11;11
"351620 Franca";-;17;611;628
"351630 Francisco Morato";-;19;549;568
"351640 Franco da Rocha";-;11;363;374
"351650 Gabriel Monteiro";-;-;1;1
"351660 Gália";-;-;15;15
"351670 Garça";-;1;88;89
"351680 Gastão Vidigal";-;1;4;5
"351685 Gavião Peixoto";-;1;5;6
"351690 General Salgado";-;2;16;18
"351700 Getulina";-;-;20;20
"351710 Glicério";-;-;7;7
"351720 Guaiçara";-;2;22;24
"351730 Guaimbê";-;-;19;19
"351740 Guaíra";-;2;64;66
"351750 Guapiaçu";-;1;32;33
"351760 Guapiara";-;7;43;50
"351770 Guará";-;6;32;38
"351780 Guaraçaí";-;1;20;21
"351790 Guaraci";-;1;15;16
"351800 Guarani d'Oeste";-;-;3;3
"351810 Guarantã";-;1;22;23
"351820 Guararapes";-;2;53;55
"351830 Guararema";-;3;62;65
"351840 Guaratinguetá";-;5;176;181
"351850 Guareí";-;1;42;43
"351860 Guariba";-;1;65;66
"351870 Guarujá";-;27;641;668
"351880 Guarulhos";-;97;2799;2896
"351885 Guatapará";-;2;19;21
"351890 Guzolândia";-;-;18;18
"351900 Herculândia";-;1;19;20
"351905 Holambra";-;1;25;26
"351907 Hortolândia";-;14;354;368
"351910 Iacanga";-;3;25;28
"351920 Iacri";-;-;11;11
"351925 Iaras";-;2;16;18
"351930 Ibaté";-;4;77;81
"351940 Ibirá";-;-;17;17
"351950 Ibirarema";-;-;12;12
"351960 Ibitinga";-;7;99;106
"351970 Ibiúna";-;6;223;229
"351980 Icém";-;1;11;12
"351990 Iepê";-;-;14;14
"352000 Igaraçu do Tietê";-;3;46;49
"352010 Igarapava";-;1;36;37
"352020 Igaratá";-;1;17;18
"352030 Iguape";-;1;63;64
"352042 Ilha Comprida";-;-;25;25
"352044 Ilha Solteira";-;-;35;35
"352040 Ilhabela";-;2;61;63
"352050 Indaiatuba";-;8;277;285
"352060 Indiana";-;1;11;12
"352070 Indiaporã";-;-;3;3
"352080 Inúbia Paulista";-;-;6;6
"352090 Ipaussu";-;1;30;31
"352100 Iperó";-;1;52;53
"352110 Ipeúna";-;-;12;12
"352115 Ipiguá";-;1;14;15
"352120 Iporanga";-;-;13;13
"352130 Ipuã";-;2;33;35
"352140 Iracemápolis";-;1;31;32
"352150 Irapuã";-;2;12;14
"352160 Irapuru";-;1;10;11
"352170 Itaberá";-;1;45;46
"352180 Itaí";-;1;67;68
"352190 Itajobi";-;3;29;32
"352200 Itaju";-;-;5;5
"352210 Itanhaém";-;12;217;229
"352215 Itaóca";-;-;16;16
"352220 Itapecerica da Serra";-;6;425;431
"352230 Itapetininga";-;11;315;326
"352240 Itapeva";-;11;270;281
"352250 Itapevi";-;18;658;676
"352260 Itapira";-;10;105;115
"352265 Itapirapuã Paulista";-;1;19;20
"352270 Itápolis";-;1;76;77
"352280 Itaporanga";-;2;32;34
"352290 Itapuí";-;2;38;40
"352300 Itapura";-;-;12;12
"352310 Itaquaquecetuba";-;27;981;1008
"352320 Itararé";-;2;119;121
"352330 Itariri";-;1;28;29
"352340 Itatiba";-;3;162;165
"352350 Itatinga";-;-;57;57
"352360 Itirapina";-;1;24;25
"352370 Itirapuã";-;1;10;11
"352380 Itobi";-;-;14;14
"352390 Itu";-;12;270;282
"352400 Itupeva";-;-;94;94
"352410 Ituverava";-;3;58;61
"352420 Jaborandi";-;-;4;4
"352430 Jaboticabal";-;4;86;90
"352440 Jacareí";-;13;369;382
"352450 Jaci";-;1;14;15
"352460 Jacupiranga";-;-;44;44
"352470 Jaguariúna";-;1;92;93
"352480 Jales";-;4;67;71
"352490 Jambeiro";-;1;7;8
"352500 Jandira";-;8;254;262
"352510 Jardinópolis";-;4;91;95
"352520 Jarinu";-;1;62;63
"352530 Jaú";-;14;206;220
"352540 Jeriquara";-;-;7;7
"352550 Joanópolis";-;-;26;26
"352560 João Ramalho";-;-;18;18
"352570 José Bonifácio";-;5;54;59
"352580 Júlio Mesquita";-;2;10;12
"352585 Jumirim";-;1;7;8
"352590 Jundiaí";-;17;575;592
"352600 Junqueirópolis";-;2;39;41
"352610 Juquiá";-;1;56;57
"352620 Juquitiba";-;-;91;91
"352630 Lagoinha";-;-;4;4
"352640 Laranjal Paulista";-;2;70;72
"352650 Lavínia";-;-;6;6
"352660 Lavrinhas";-;-;16;16
"352670 Leme";-;14;165;179
"352680 Lençóis Paulista";-;1;95;96
"352690 Limeira";-;12;398;410
"352700 Lindóia";-;-;8;8
"352710 Lins";-;5;108;113
"352720 Lorena";-;6;151;157
"352725 Lourdes";-;-;1;1
"352730 Louveira";-;2;85;87
"352740 Lucélia";-;1;17;18
"352750 Lucianópolis";-;1;5;6
"352760 Luís Antônio";-;-;15;15
"352770 Luiziânia";-;1;7;8
"352780 Lupércio";-;-;10;10
"352790 Lutécia";-;-;3;3
"352800 Macatuba";-;4;26;30
"352810 Macaubal";-;-;14;14
"352820 Macedônia";-;-;8;8
"352830 Magda";-;-;6;6
"352840 Mairinque";-;3;98;101
"352850 Mairiporã";-;4;145;149
"352860 Manduri";-;1;15;16
"352870 Marabá Paulista";-;-;7;7
"352880 Maracaí";-;-;23;23
"352885 Marapoama";-;-;2;2
"352890 Mariápolis";-;-;6;6
"352900 Marília";-;11;361;372
"352910 Marinópolis";-;-;2;2
"352920 Martinópolis";-;2;38;40
"352930 Matão";-;6;110;116
"352940 Mauá";-;28;803;831
"352950 Mendonça";-;-;10;10
"352960 Meridiano";-;-;4;4
"352965 Mesópolis";-;-;4;4
"352970 Miguelópolis";-;-;38;38
"352980 Mineiros do Tietê";-;1;15;16
"353000 Mira Estrela";-;-;5;5
"352990 Miracatu";-;2;63;65
"353010 Mirandópolis";-;1;32;33
"353020 Mirante do Paranapanema";-;2;36;38
"353030 Mirassol";-;2;71;73
"353040 Mirassolândia";-;-;8;8
"353050 Mococa";-;1;124;125
"353060 Mogi das Cruzes";-;27;877;904
"353070 Mogi Guaçu";-;7;256;263
"353080 Mogi Mirim";-;3;145;148
"353090 Mombuca";-;-;11;11
"353100 Monções";-;-;5;5
"353110 Mongaguá";-;8;139;147
"353120 Monte Alegre do Sul";-;-;5;5
"353130 Monte Alto";-;1;51;52
"353140 Monte Aprazível";-;1;27;28
"353150 Monte Azul Paulista";-;-;29;29
"353160 Monte Castelo";-;-;8;8
"353180 Monte Mor";-;9;153;162
"353170 Monteiro Lobato";-;-;3;3
"353190 Morro Agudo";-;5;68;73
"353200 Morungaba";-;1;20;21
"353205 Motuca";-;-;6;6
"353210 Murutinga do Sul";-;2;7;9
"353215 Nantes";-;-;6;6
"353220 Narandiba";-;1;20;21
"353230 Natividade da Serra";-;-;13;13
"353240 Nazaré Paulista";-;3;43;46
"353250 Neves Paulista";-;-;10;10
"353260 Nhandeara";-;-;8;8
"353270 Nipoã";-;2;15;17
"353280 Nova Aliança";-;-;8;8
"353282 Nova Campina";-;2;34;36
"353284 Nova Canaã Paulista";-;-;2;2
"353286 Nova Castilho";-;-;5;5
"353290 Nova Europa";-;-;17;17
"353300 Nova Granada";-;1;46;47
"353310 Nova Guataporanga";-;-;7;7
"353320 Nova Independência";-;1;10;11
"353330 Nova Luzitânia";-;-;4;4
"353340 Nova Odessa";-;2;72;74
"353325 Novais";-;-;8;8
"353350 Novo Horizonte";-;1;81;82
"353360 Nuporanga";-;-;11;11
"353370 Ocauçu";-;1;12;13
"353380 Óleo";-;-;3;3
"353390 Olímpia";-;6;117;123
"353400 Onda Verde";-;-;8;8
"353410 Oriente";-;-;12;12
"353420 Orindiúva";-;-;9;9
"353430 Orlândia";-;2;62;64
"353440 Osasco";-;44;1336;1380
"353450 Oscar Bressane";-;-;3;3
"353460 Osvaldo Cruz";-;5;40;45
"353470 Ourinhos";-;10;169;179
"353480 Ouro Verde";-;5;16;21
"353475 Ouroeste";-;-;19;19
"353490 Pacaembu";-;-;20;20
"353500 Palestina";-;-;12;12
"353510 Palmares Paulista";-;1;19;20
"353520 Palmeira d'Oeste";-;1;8;9
"353530 Palmital";-;2;42;44
"353540 Panorama";-;2;33;35
"353550 Paraguaçu Paulista";-;2;93;95
