 Nascidos vivos - São Paulo
Nascim p/resid.mãe por Município e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos
Período:2014
"Município";"10 a 14 anos";"15 a 19 anos";"Total"
"350010 Adamantina";3;41;44
"350020 Adolfo";1;13;14
"350030 Aguaí";2;62;64
"350040 Águas da Prata";1;7;8
"350050 Águas de Lindóia";-;37;37
"350055 Águas de Santa Bárbara";2;10;12
"350060 Águas de São Pedro";-;3;3
"350070 Agudos";4;114;118
"350075 Alambari";-;13;13
"350080 Alfredo Marcondes";2;3;5
"350090 Altair";1;10;11
"350100 Altinópolis";-;23;23
"350110 Alto Alegre";-;8;8
"350115 Alumínio";1;38;39
"350120 Álvares Florence";-;3;3
"350130 Álvares Machado";4;66;70
"350140 Álvaro de Carvalho";-;12;12
"350150 Alvinlândia";-;5;5
"350160 Americana";13;222;235
"350170 Américo Brasiliense";3;102;105
"350180 Américo de Campos";-;9;9
"350190 Amparo";8;108;116
"350200 Analândia";-;8;8
"350210 Andradina";2;114;116
"350220 Angatuba";3;63;66
"350230 Anhembi";-;19;19
"350240 Anhumas";1;-;1
"350250 Aparecida";1;90;91
"350260 Aparecida d'Oeste";-;3;3
"350270 Apiaí";6;80;86
"350275 Araçariguama";6;50;56
"350280 Araçatuba";19;323;342
"350290 Araçoiaba da Serra";2;53;55
"350300 Aramina";-;10;10
"350310 Arandu";1;14;15
"350315 Arapeí";-;2;2
"350320 Araraquara";8;312;320
"350330 Araras";8;219;227
"350335 Arco-Íris";-;7;7
"350340 Arealva";1;11;12
"350350 Areias";-;8;8
"350360 Areiópolis";3;30;33
"350370 Ariranha";1;18;19
"350380 Artur Nogueira";6;88;94
"350390 Arujá";7;218;225
"350395 Aspásia";-;4;4
"350400 Assis";11;185;196
"350410 Atibaia";9;260;269
"350420 Auriflama";2;43;45
"350430 Avaí";3;15;18
"350440 Avanhandava";1;30;31
"350450 Avaré";5;215;220
"350460 Bady Bassitt";-;25;25
"350470 Balbinos";-;2;2
"350480 Bálsamo";-;10;10
"350490 Bananal";-;11;11
